sentiment,Text
-1, apple  ios8 iphone6 issues device with voicemail 4 the phone being a phone it seems under developed Ielisten message and take a note 
0, Apple needs to consider these emojis I REALLY NEED THEM IN MY LIFE httptcoHYpcrcgJ44 via buzzfeed 
0, First to own 2600 digital languages is the NEW leader of the Internet Samsung  google apple MicromaxMobile onlinegaming  WoWen 
1, Apple Apple sales soar after launch of iPhone6 Wednesday 3 December httptcoQrV3LxeVgm 
-1, if my phone dies mid tweet I will SUE you apple 
-1, Dear Apple I place all my browser eggs in the Safari basket Guess what? Safari is broken please fix the release you pulled FAIL 
0, swerviinnn Apple multiply by 100 
-1, MY TMOBILEAPPLE CELLULAR HELL httptcoGs9wNwmawu apple TMobile iPhone6 iPhone6Plus Apple TMobile tech httptcoauHhLb0Plv 
1, OneRepublic Apple this is awesome Can I join? 
0, IPhone6 Plus Captures 41 of US phablet Sales aapl httptcopbM5D7Z7Gw 
0, Holiday weekend apple v android who came out on top? httptcoWEpQ4CunCr httptcopNX4QKuymh 
0, 5wa Haha Apple techs seeing the CondoSeniors cookery should jump at opportunity  
1, RT aaaron Insanely great news adroll teams up with apple for iAds programmatic launch httptcol5flNuBtBa 
0, Apple plans to build a technical center in Yokohama Japan adding dozens of jobs httptcosZKNKcE5iN AAPL 
0, Apple Pay Or google Wallet Which is Better? BiztechLTD httptcogZXeMYRwln httptcostDkprq0SR 
-1, Former Apple Inc Exec Gets A Year In Prison For Selling Secrets httptco6Ya9YQwVlR AAPL 
0, ggwpapple higher ups can link that link back to your applecom email address 
-1, my iphone6 plus is impossible to hold without a cover it slides out if my hand apple iphone apple 
0, RT KirkYuhnke What do you think? Want an Apple Watch? httptco7HjDjQ1iAb 
0, aapl might invest in Tsla to increase RampD plus increase production multifolds in EV Cars SUVs By 2015 most of US amp ChinaSupercharged 
-1, GMONEYizME Ive probably spent more on replacing non functioning Iphone cables than Ive spent on iPhones apple  SwitchToLumia 
0, Alabama antidiscrimination bill to be named after Apples Tim Cook httptcotnuYzI7QbT AAPL 
0, Why Apple Needs China to Love the Apple Watch  AAPL aapl httptcoJxo4stP9b7 
0, APPLE  Fibonacci Technicals Levels  Intraday  PreOpening AAPL aapl  httptcoueCSTwoPcp 
-1, Why did apple send me a new computer today and it is broken whyamihavingtomakegeniusbarappointmentsalready 
0, Watch out Apple  httptcoB3Uq7YeDlx 
-1, apple my laptop is burning my legs what do u have to say about this 
0, Rumor Roundup Crescentgategate AAPL aapl httptcoiQOYgnD72G 
0, Worth reading design comparison of Google and Apples map apps httptco7vGUivRy0C UX 
-1, RT tschwettman hey apple why wont you let me facetime claire stop being rude 
1, RT hsmoghul My apple autocorrect changes Muslim to awesome and Im okay with that 
-1, apple the fact these itunes updates makes it anal to reset play counts sometimes yall do the mosttttt 
0, RT thehill Justice Department cites 18th century federal law to get Apple to unlock iPhones httptcoEth0QpAIom 
0, apple I wish camera on the side in next iPhone and landscapeTwitter on twitter app in new 2015 RD 
-1, DEAR APPLE THIS IS THE WORSE SERVICE EVER apple httptcoJHPs71DF0W 
0, Apple Wants To Make Your Commute Much Easier According To This New Patent aapl httptcofKMNHCmwJU httptcowdqAzQowt3 
0, OneRepublic Studio at 45000 ft One outlet 4 computers Apple we need the batteries of the future NoW httptcoMjnnSFZFp5 
1, jakeflem Apple  Sorry that youre going through that hope you get this fix it was a real pain for us too  but Apple care cover it for free 
0, AAPLiPhone 7 Rumors Might be Called iPhone 6S Coming in 3 Styleshttptco0XbmuVdZpL 
-1, Yeah Ill definitely be going to the apple store after finals Damn MBP Graphics card failing again this is bullshit for a 2500 computer 
0, Headed to IKEA and Apple Store today Yikes or Yay? dayoffduties 
-1, Game*** Apple you bitches really trying me tonight RT DreMacsAMillion WhoSFlyy gams night gawd 
0, Sprint Offering to Halve Wireless Bills for Customers Switching From ATampT or Verizon iOS Blog httptcoChvmx9EHiy AAPL 
0, There needs to be a Texas flag emoji apple 
-1, RT JOJOxSweat WHY MY CHARGERS ALWAYS GET NECKS amp SHIT apple 
0, JMP raises Apple Inc price target to 150 on exceptionally strong demand for  httptcoSOmV4lx8Ao AAPL 
0, Pencil Skirt and Pacifier Tech Tuesday All About the Leather apple httptcovRRxo3SV0c 
-1, proof apple does not use its own products freaking MAIL shows up in SEARCH FOR FILE in the FINDER nut kicks httptco64hu4wqNkV 
0, UBS hikes FQ1 iPhone forecast following Google checks AAPL httptco92YmzRBBuw 
0, TeamCavuto FairOaksTrader Apple  Still Misplaced but they are the companies with the most power to do something 
0, MasterCard Teams up with Gwen Stefani to Promote Apple Pay AAPL aapl httptcoEToKp308cW 
-1, apple you are loosing all the things that used to make you so much better to live with than windows 
0, Photographing the White House Christmas Decorations With an iPhone 6 by BrooksKraftFoto  apple httptcolPDqbJqnV5 
0, Lol tryna figure out why this file say its from 1984? timcook apple StephanieKMBC httptcooxgYTgW3P7 
0, Here Is The New iPad Ad aapl httptcoEc6QKDdTsK httptcoCbpe7mtKvb 
0, 5SOS OMG THIS WOULD ACTUALLY BE A RLLY CUTE EMOJI apple 
0, RT Totterdells Explore all the Apple rumours for 2015 httptcodFfeIjBDZE Apple2015 TechIreland Apple httptcoM6vrskWmLF 
0, Apple with the Hour of Code for codeorg httptcomCxrLxX9kb via TechCrunch How about startups join and teach coding too? 
-1, Frustrated after unsuccessfully trying to fix outgoing SMTP configuration lt3 Apple but this is unacceptable YosemiteProblems apple help 
0, Apple cofounder Steve Wozniak talks about Steve Jobs amp Apples early days via DesignTaxi httptcoJWxSOuTLP7 
0, Morgan Stanley Sells Apple Inc but AAPL Stock Still a Buy AAPL aapl httptcow6zGbxeEs0 
0, Verr?cktes Ger?cht iPhone6s zum Apple Apple Watch Thursday 4 December httptcow8KyZdoUtE 
-1, Apple What the heck??? My phone screen looks like it lost a battle with a windstorm httptcoHcTgCIjxBS 
1, It makes you smarter  Elevate is apple app of the year  Congratulations jessepickard and team  httptcor0cgmthoCC 
0, RT IHCFO Gonna go out on a limb Twtr will be this decades AAPL 
1, OneRepublic Apple AppleAddict  The show in Paris was Amazing  Thank you guys  See you soon  
-1, OK utterly rediculous Takes 2 hrs to do a simple thing like syncing a ringtone? Itunes Accessability is horific Again Rediculous Apple 
1, Thank you Apple 
0, thehill Apple i cite the 4th amendment as a retort 
-1, Spent 6000 EUR at Apple iPhone 6 camera no longer worksTold I got water in itI did not Unacceptable customer service apple 
-1, Apple the no caller ID thing is scary as heck and I suggest you stop it 
0, THE FUTURE OF APPLE aapl httptco0MO7dUeyh6 httptcotxHppUeWp7 
0, AAPLMy Three Horsemen Of The NASDAQ 100  Apple Microsoft And Gilead SciehttptcocDvoZfGSBX 
0, Apple Inc Weekly Roundup Facebook Ads amp iPad 4 httptco1YrNUvCJel AAPL 
-1, ThisDueeMarco Apple thats annoying they never get stuff right the first time 
1, apple thank you httptcowmSinAAuQf 
-1, This is why I would never want to own an apple device But sadly people seem to be okay with that httptcoEK4vESbigs 
-1, how do I have 1 then plug in my phone and jumps to 4 apple stop playing games 
-1, Apple YOURE NOT EVEN THE REAL FUCKING APPLE COMPANY WHAT THE FUCK AM I SUPPOSED TO DO 
0, Apple What to Expect in 2015 httptco36w26XZlzb 
0, Alle News zu iPhone iPod und Apple Apple Watch Monday 8 December httptcoiO3m7jkK4t 
0, Apple Stores recruiting fashionluxury experts ahead of Apple Watch debut AAPL aapl httptcoAD9wcBYfRa 
-1, I swear to fuck I would rather cut and splice physical fucking tape than dick around with one more Apple product with shit design 
1, Thank u Apple for having outstanding customer service amp exchanging a phone case that was clearly not made 4 the power user customerforlife 
1, Great time had Apple store on Friday RussellFerg amp his krumpers amp a talkBack httptcoN6RdHXm2oP TWDanceCenter UrbanNutcracker 
0, Does anyone know if theres a smartwatch  with a old fashioned clock face?  Grandma needs a watch Samsung  apple mota 
0, Is apple the most searched for company and google the most searched on platform? 
-1, Hey apple how about you guys make a charger that lasts more than 2 fucking weeks 
-1, tell ur update to stop capitalizing everything apple 
0, juji246 stephanies0601 BradPaisley Applebees OOPS SORRY APPLEBEES I MEANT apple 
0, MrBeagleman Apple  If Starbucks shuts down anon is decimated 
0, can we get a touch screen macbook apple 
0, Have Apples iPad Sales Peaked? AAPL httptcozDUTviV8ys 
0, Zoonova WhatIf analysis AAPL LNKD FB GOOGL TSLA Stocks Options Bonds FRN MM  10 bps Vol  20 Nasdaq 4500 httptcoNpIEpe7dp5 
0, 5 Companies Growing Faster Than Apple Inc httptcoSvbEfgMS7O AAPL 
1, Thank you to the nice lady at Apple in RegentsStreet for helping me grab my phone today  You are a life saver 
0, Daring Fireball Transmit iOS and iCloud Drive Apple httptcokCByq0221c 
0, My apps apple ipodtouch5thgen httptcottEzGarBXd httptco8bUawltG4i 
0, iPhone6c release date rumours and leaked images Will Apple Apple release a  Thursday 4 December httptcoBoA50OHs0b 
-1, All they do is steal your money apple  
-1, An OSX update just bricked my MacBook Pro apple fuck 
-1, Just watched my dad struggle to answer a call because his iPhone wouldnt let him answer Great job on iOS Apple Not 
-1, apple on hold 56 min 
-1, engadget why are apple users surprised? apple tells them how to hold their phones whats on their phones amp what they can listen to isheep 
-1, How do I only have 127 GB used if my phone is 16 GB? Apple httptcoitSSqNqLIa 
0, Apples 1bn anticompetition trial might collapse AAPL aapl httptcookgLdIN1ny 
0, Wells Fargo Continues Promoting Apple Pay With New Advertisement httptco5XarM27WRi AAPL 
0, engadget apple It happened to me 
-1, Im going to press the play button Wait no Im not  apple fix your apps httptcoeteewIIjrO 
-1, Too much completely broken shit in the world fucks sake And Fuck You Apple for the bullshit autocorrects 
-1, Why I Hate Apple aapl  httptcoinkCjYw0Lq 
0, PatrickPaltrow Apple between 4 and 8 
0, nialIhburn Apple TRES 
-1, apple your freaking computer went psycho and ruined my life thanks a lot 
0, Apple Facing A Challenge From Googles Android httptcoapqD7jWn7B AAPL 
0, Is Apple a symptom of a tech bubble? Could Apple be overvalued? 700B Reasons for Apples Valuation httpstcoMssFgcQiaF Apple AAPL 
0, Mark Zuckerbergs Newest Frenemy Tim Cook AAPL aapl httptcoPzNcxFZ68S 
0, Apple retail locations to offer free coding workshops Dec 11th as part of The Hour of Code httptco4YVXawpyjb 
1, Free so apple for this nice iPad 
-1, RT bellabong apple U need to get ur fucking shit together and let me txt while on YouTube 
1, Photo Yaaass Shoutout to appleholidays and to stevejobs for being amazing iPhone stevejobs httptco6IObBn59MQ 
-1, the silicone on my case is peeling wtf apple 
-1, Man the ESPN3 app on apple TV is some hot garbage 
0, Apple 115 fits to 84 increase in earnings Use 2014Q3 EPS142 in  free IOS App Donkey Stocks AAPL httpstco8CBUgrEHZS 
-1, MY TEXTING ISNT WORKING AND VerizonWireless BLAMES apple AND APPLE BLAMES VERIZON SOMEONE FIX THIS ITS BEEN 36 HOURS OF THIS CRAP 
1, Finally got my iPhone 6 apple  Such a relief after using my 4 for months 
-1, Not sure who is worse ATT Apple vacations or SovereignBankUS 
0, iamrayuko Apple because you know you dont want none 
1, First tweet from my new apple iPhone 6 Plus newtoy 
-1, For the past week my phone stay freezing amp closing out apps on me wtf apple? 
0, Watch the weekends new TV ads from RadioShack Apple and more httptcohXhnN8og6K 
0, iPhone6c release date rumours and leaked images Apple Apple said to be working  Friday 5 Decem httptco76QIXLKyS3 
0, Apple Continues Beefing Up Digital Audio Expertise by Hiring Dana Massie From Audience httptcov4OFDCnz85 AAPL 
-1, Hey apple could you make an iPhone charger that lasts more than a month? Sincerely a broke high school student who wants her phone charged 
-1, Siri be on that bull shit telling me its not gonna rain and shit da fuck I pay for her for apple 
-1, I HAVE BEEN THROUGH ABOUT 18 IPHONE 5 CHARGERS apple stevejobs WTF  notcool 
1, TheStreet Cramer Says Buy mApple as Avago Techs Earnings Hint at Big Demand avgo aapl httptcoiabVpFUIoc 
0, Foreign Currency Exchange May Be A Headwind For Apple AAPL aapl httptco7GiTFxqS5j 
-1, I hope no one ever cons me into getting another crappy apple product again 
-1, If you have an iPad 2 DONT update it to iOS8 its buggy and slow apple apple 
1, Yay Apple customer support was super nice and helpful and now my iMessages is verified 
-1, WHAT THE ACTUAL FUCK apple 
0, How in the heck isnt there a taco emoji? apple 
-1, My phone is on acid right now apple fix this 
-1, Apple pls let me know when yr sorti out problems wi ipadmini its freezing slow httptcoOu8SsWA6jT 
-1, RedXPower ChristmasCount Apple but these phones make people fat lol 
-1, Every new iPhone or update spellcheck suppress my greatness more and morestop trying to tell me what to type apple 
0, Major News Outlets Seek Permission to Share Steve Jobs iPod Lawsuit Deposition Video httptcoK1o0qEEVZL AAPL 
-1, fuck apple for allowing ppl to access the camera when the phone is locked fuck you fuck you apple 
-1, Ok seriously When is apple going to fix iOS 8? Im still missing music 
-1, Who annoys me more atampt or apple SamsungMobileUS  here I come for a galaxy s5 
-1, RT mrushh hey apple why is my phone dying when its on the charger  ur stuff sucks 
1, RT shannonmmiller Love the Apple is supporting HourOfCode with workshops  httptcoWP8D0FNjNu 
0, radbarakat Apple aPPLE SUPPORT HAVE A TWITTER I THINK 
0, Im learning all about Apple iPad mini Smart Cover  Green at Influenster Apple httptcoRioO60xsQ1 
1, Apples share of UK smartphone sales soared to 395 in the 3 months to October thanks to iPhone6 launch 
0, Hey panerabread how about you teach your people how to use apple pay? 
0, Win a New Apple iPad Mini 3 with an iTunes Gift Card httptco5pZl2WA9sv 
0, Stock Market Today Moving on WMT AAPL and Uber News Money Morning The company reported more than 15 bil httptcoBQ7JGdBO7k 
-1, Lol fuck you apple if Im going to pay you my left arm amp leg for a product make it last for more then a couple months ShittyChargers 
0, I called Operator Apple to speak to someone about Corp funding the Frank O Geary baseball stadium in St Pete FL Shehungup timcook  HELP 
0, Macys Why do I have to sign when making an Apple Pay transaction? 
0, iOS A visual history httptcoYmt6E0IeFL via verge Apple ipaded edtech 
-1, RT toricolelli My phones been charging for an hour but it keeps losing percentage?? Get ur shit together apple 
-1, allandthompson Apple Let me just go ahead and get this one out of the way U gonna get a VIRUS amp ur whole house will explode 
-1, Julian Robertson Still Bullish On Apple Inc httptcoTZR1tF5Gv6 AAPL 
-1, WhoaBiebz GET YOUR SHIT TOGETHER OR ILL GUY A SAMSUNG GALAXY S5 APPLE httptcoLEHpmkxK0a 
-1, Those** PICK UP THE SLACK YOU FUCK BOYS Apple 
-1, Finally got my iPhone 6 in the mail and it comes out of the box with a busted screen  Thanks apple 
0, umogames Apple ended up getting a new computer anyhow work computer Heres how you can switch between vid cards httptcokuISePVc0o 
0, The 19YearOld WizKid Who Turned Down Apple Has Nabbed Backing From A Hollywood Star httptcoPoqfGOeVSU 
-1, The iPhone 6 May Have A Longer Upgrade Cycle  If So Expect Unit Sales To Fall AAPL aapl httptcoeP1ZksHNqJ 
